sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
महाबलः राजा रावणः सर्वासां प्रियां महाभागां च बहुमतां भार्या त्यक्त्वा त्वाम् उपैष्यति	O O B-ASURA O O O O O O O O O	11	{'B-HUMAN': ['रावणः'], 'B-RAKSHASA': ['महाबलः'], 'B-KULA': ['महाभागां']}	{'B-RAKSHASA': ['रावणः'], 'B-HUMAN': ['महाबलः']}	{'B-HUMAN': ['महाबलः', 'राजा रावणः'], 'B-HUMAN': ['भार्या']}	{'B-HUMAN': ['महाबलः', 'राजा रावणः'], 'B-HUMAN': ['त्वाम्'], 'B-HUMAN': ['भार्या']}
रावणः सहस्रेण स्त्री समृद्धं नाना रत्न उपशोभितम् अन्तःपुरं समुत्सृज्य त्वाम् उपैष्यति	B-ASURA O B-HUMAN O O O O B-PALACE O O O	12	{'B-RAKSHASA': ['रावणः'], 'B-HOUSE': ['अन्तःपुरं']}	{'B-RAKSHASA': ['रावणः'], 'B-PALACE': ['अन्तःपुरं']}	{'B-RAKSHASA': ['रावणः'], 'B-HUMAN': ['त्वाम्'], 'B-PALACE': ['अन्तःपुरं'], 'B-FLOWER': ['रत्न']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
येन असकृद् युद्धे देवता समरे नाग गन्धर्व दानवाः निर्जिताः	O O O B-DEVA O B-NAGA B-GANDHARVA B-RAKSHASA O	13	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}
ऽधमे तस्य सर्वसमृद्धस्य राक्षसेन्द्रस्य महात्मनः रावणस्य भार्या त्वम् किमर्थं न इच्छसे	O O O O O B-ASURA O O O O O	14	{'B-RAKSHASA': ['रावणस्य']}	{'B-RAKSHASA': ['राक्षसेन्द्रस्य', 'रावणस्य'], 'B-HUMAN': ['भार्या']}	{'B-RAKSHASA': ['रावणस्य'], 'B-HUMAN': ['भार्या']}	{'B-HUMAN': ['रावणस्य'], 'B-RAKSHASA': ['राक्षसेन्द्रस्य'], 'B-HUMAN': ['त्वम्'], 'B-HUMAN': ['महात्मनः']}
आयतापाङ्गे यस्य भीतो सूर्यो न तपति यस्य च मारुतः न वाति स्म तस्य त्वं किं न तिष्ठसि	O O O B-DEVA O O O O B-DEVA O O O O O O O O	15	{'B-HUMAN': ['आयतापाङ्गे']}	{'B-RAKSHASA': ['आयतापाङ्गे']}	{'B-ASURA': ['मारुतः'], 'B-DEVA': ['सूर्यो']}	अर्थ : तुझ्या पायांनी ज्याचा भीतो सूर्य तपशीला लागत नाही आणि ज्याच्या पायांनी ज्याचा वायूचा वाहून जाणारा वातव
सुभ्रु! यस्य भयात् तरवो पुष्प वृष्टिम् च वै यदा इच्छति शैलाश्च जलदाश्च पानीयं मुमुचुर्	O O O B-TREE B-FLOWER O O O O O B-MOUNTAIN O O O	16	{'B-HUMAN': ['सुभ्रु'], 'B-TREE': ['तरव'], 'B-FLOWER': ['पुष्प'], 'B-MOUNTAIN': ['शैल'], 'B-DEVA': ['जलद']}	{'B-DEVA': ['सुभ्रु']}	{'B-TREE': ['तरवो'], 'B-FLOWER': ['पुष्प'], 'B-MOUNTAIN': ['शैलाश्च'], 'B-SEA': ['जलदाश्च']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
भामिनि तस्य नैरृतराजस्य राजराजस्य रावणस्य भार्यार्थे त्वं बुद्धिं हि किं न कुरुषे	O O O O B-ASURA O O O O O O O	17	{'B-HUMAN': ['भामिनि'], 'B-ASURA': ['रावणस्य'], 'B-KINGDOM': ['नैरृतराजस्य']}	{'B-RAKSHASA': ['रावणस्य']}	{'B-HUMAN': ['भामिनि', 'रावणस्य'], 'B-ASURA': ['नैरृतराजस्य', 'राजराजस्य']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
देवि ते तत्त्वतो साधु कथितं ततः परुषा विकृताननाः राक्षस्यो नार्य सीताम् उपागम्य ताम् परुषं अप्रियम् वाक्यम् ऊचुः	B-HUMAN O O O O O O O O B-RAKSHASA B-HUMAN O O O O O O	18	{'B-HUMAN': ['देवि', 'सीताम्'], 'B-RAKSHASA': ['राक्षस्यो']}	{'B-RAKSHASA': ['राक्षस्यो'], 'B-HUMAN': ['सीताम्']}	{'B-DEVA': ['देवि'], 'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['सीताम्']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
सीते सर्वभूतमनोहरे महार्ह शयन उपेते अन्तःपुरे वासम् त्वम् किं न अनुमन्यसे	B-HUMAN O O O O B-PALACE O O O O O	19	{'B-HUMAN': ['सीते'], 'B-HOUSE': ['अन्तःपुरे']}	{'B-HUMAN': ['सीते'], 'B-PALACE': ['अन्तःपुरे']}	{'B-HUMAN': ['सीते'], 'B-PALACE': ['अन्तःपुरे']}	अर्थ : सीते ! तुम्ही सर्व भूतानां मनोहरे महार्ह शयन उपेते अन्तःपुरे वासम् किं न अनुमन्यसे ?
मानुषी मानुषस्य भार्या एव त्वम् बहु मन्यसे	B-HUMAN O O O O O O	20	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
रामात् मनो प्रत्याहर त्वं जातु न भविष्यसि	B-HUMAN O O O O O O	21	{'B-HUMAN': ['रामात्']}	{'B-HUMAN': ['रामात्']}	{'B-HUMAN': ['रामात्']}	अर्थ : तुम्ही रामापासून मनात प्रत्याहरून जाणार नाही
अनिन्दिते शोभने मानुषी राज्याद् भ्रष्टम् असिद्धार्थं विक्लवं मानुषं तं रामम् तु त्वम् इच्छसि	O O B-HUMAN B-KINGDOM O O O B-HUMAN O B-HUMAN O O O	22	{'B-HUMAN': ['रामम्']}	{'B-HUMAN': ['रामम्']}	{'B-HUMAN': ['रामम्'], 'B-KINGDOM': ['राज्याद्']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
पद्मनिभेक्षणा सीता राक्षसीनां वचः श्रुत्वा अश्रुपूर्णाभ्याम् नेत्राभ्याम् इदं वचनम् अब्रवीत्	O B-HUMAN B-RAKSHASA O O O O O O O	23	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीनां']}	{'B-HUMAN': ['सीता']}	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीनां']}	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीनां']}
संगताः यद् इदं लोकविद्विष्टम् उदाहरथ एतत् किल्बिषं वाक्यं मे मनसि न प्रतितिष्ठति	B-RAKSHASA O O O O O O O O O O O	24	{'O': ['संगताः', 'यद्', 'इदं', 'लोकविद्विष्टम्', 'उदाहरथ', 'एतत्', 'किल्बिषं', 'वाक्यं', 'मे', 'मनसि', 'न', '	{'B-RAKSHASA': ['संगताः']}	{'B-HUMAN': ['संगताः']}	अर्थ : संगताः, या लोकविद्विष्टा म्हणतात, मी मनात कधीही असे विचार करत नाही की हे वाक्य किती किल्बिषाचे आहे.
मानुषी राक्षसस्य भार्या न भवितुम् अर्हति	B-HUMAN B-RAKSHASA O O O O	25	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA':['राक्षसस्य']}	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य']}	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य']}	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य']}
रावणचोदिताः राक्षस्यः सीताया वचनं श्रुत्वा क्रोधमूर्छिताः परुषैर् वाक्यै भर्त्सयन्ति स्म	O B-RAKSHASA B-HUMAN O O O O O O O	26	{'B-ASURA': ['रावणः'], 'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['सीताया']}	{'B-RAKSHASA': ['रावणचोदिताः', 'राक्षस्यः'], 'B-HUMAN': ['सीताया']}	{'B-RAKSHASA': ['रावणचोदिताः'], 'B-HUMAN': ['सीता']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
स कपिः हनुमाञ् निर्वाक्यो शिंशपाद्रुमे अवलीनः सीतां संतर्जयतीः ताः राक्षसीर् अशृणोत्	O B-VANARA B-VANARA O B-TREE O B-HUMAN O O B-RAKSHASA O	27	{'B-VANARA': ['हनुमाञ्'], 'B-TREE': ['शिंशपाद्रुमे'], 'B-HUMAN': ['सीतां'], 'B-RAKSHASA': ['राक्षसीः']}	{'B-VANARA': ['हनुमाञ्'], 'B-TREE': ['शिंशपाद्रुमे'], 'B-HUMAN': ['सीतां'], 'B-RAKSHASA': ['राक्षसीर्']}	{'B-VANARA': ['हनुमानः'], 'B-TREE': ['शिंशपाद्रुमे'], 'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीः']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
परमक्रुद्धाः परश्वधान् प्रगृह्य आशु च ऊचुः	O B-AXE O O O O	28	{'B-HUMAN': ['परमक्रुद्धाः'], 'B-AXE': ['परश्वधान्']}	{'B-RAKSHASA': ['परमक्रुद्धाः'], 'B-AXE': ['परश्वधान्']}	{'B-ASURA': ['परमक्रुद्धाः'], 'B-AXE': ['परश्वधान्']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
इयम् राक्षसाधिपम् रावणं भर्तारं न अर्हति	O O B-ASURA O O O	29	{'B-RAKSHASA': ['रावणं']}	{'B-RAKSHASA': ['राक्षसाधिपम्', 'रावणं']}	{'B-RAKSHASA': ['रावणं']}	{'B-RAKSHASA': ['रावणं'], 'B-HUMAN': ['भर्तारं']}
भीमाभी राक्षसीभिर् भर्त्स्यमाना सा वरानना सा बाष्पम् अपमार्जन्ती ताम् शिंशपां उपागमत्	O B-RAKSHASA O O O O O O O B-TREE O	30	{'B-HUMAN': ['भीमाभी'], 'B-RAKSHASA': ['राक्षसीभिर्'], 'B-TREE': ['शिंशपां']}	{'B-HUMAN': ['भीमा'], 'B-RAKSHASA': ['राक्षसीभिर्'], 'B-TREE': ['शिंशपां']}	{'B-RAKSHASA': ['राक्षसीभिः'], 'B-FLOWER': ['वरानना'], 'B-TREE': ['शिंशपां']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
ततस् विशालाक्षी शोकपरिप्लुता सीता राक्षसीभिः समावृता ताम् शिंशपां अभिगम्य तस्थौ	O O O B-HUMAN B-RAKSHASA O O B-TREE O O	31	{'B-HUMAN': ['विशालाक्षी', 'सीता'], 'B-RAKSHASA': ['राक्षसीभिः'], 'B-TREE': ['शिंशपां']}	{'B-HUMAN': ['सीता'], 'B-TREE': ['शिंशपां']}	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीभिः'], 'B-TREE': ['शिंशपां']}	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसी'], 'B-TREE': ['शिंशपा']}
ताः भीमा राक्षस्यः कृशां दीनवदनां मलिनाम्बरधारिणीम् तां समन्तत: भर्त्सयांचक्रिरे	O O B-RAKSHASA O O O O O O	32	{'B-RAKSHASA': ['भीमा']}	{'B-RAKSHASA': ['राक्षस्यः']}	{'B-RAKSHASA': ['भीमा'], 'B-HUMAN': ['मलिनाम्बरधारिणीम्']}	{'B-RAKSHASA': ['ताः भीमा'], 'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['कृशां दीनवदनां'], 'B-HUMAN': ['मलिनाम्बरधारिणीम
ततस् भीमदर्शना कुपिताकारा कराला निर्णतोदरी विनता नाम राक्षसी ताम् अब्रवीत्	O O O O O B-RAKSHASA O O O O	33	{'B-ASURA': ['विनता'], 'B-RAKSHASA': ['निर्णतोदरी']}	{'B-RAKSHASA': ['भीमदर्शना', 'विनता']}	{'B-RAKSHASA': ['विनता'], 'B-HUMAN': ['भीमदर्शना'], 'B-RAKSHASA': ['कुपिताकारा', 'कराला', 'निर्णतोदरी']}	{'B-HUMAN': ['भीमदर्शना'], 'B-RAKSHASA': ['कराला'], 'B-RAKSHASA': ['निर्णतोदरी'], 'B-RAKSHASA': ['विनता']}
सीते भर्तृ स्नेहः निदर्शितः एतावद् पर्याप्तम्	B-HUMAN O O O O O	34	{'B-HUMAN': ['सीते']}	{'B-HUMAN': ['सीते']}	{'B-HUMAN': ['सीते'], 'B-HUMAN': ['भर्तृ']}	"सीते भर्तृ स्नेहः निदर्शितः एतावद् पर्याप्तम्‌ । 
{'B-HUMAN': ['सीते', 'भरतृ']}"
मैथिलि मानुषः विधिः कृतो तु ते परितुष्टा अस्मि ते भद्रं मम ब्रुवन्त्याः पथ्यं वचः अपि कुरु	B-HUMAN O O O O O O O O O O O O O O O	35	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['मैथिलि'], 'B-HUMAN': ['मानुषः']}	{'B-HUMAN': ['मैथिलि मानुषः'], 'B-KULA': ['ते'], 'B-ORGANIZATION': ['भद्रं']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
सर्व रक्षसाम् भर्तारं विक्रान्तं सुरेशम् इव रूपवन्तं वासवम् च रावणं भर्तारं भज	O B-RAKSHASA O O B-DEVA O O B-DEVA O B-ASURA O O	36	{'B-RAKSHASA': ['रावणं']}	{'B-RAKSHASA': ['रावणं']}	{'B-RAKSHASA': ['रावणं'], 'B-HUMAN': ['वासवम्'], 'B-HUMAN': ['भर्तारं'], 'B-HUMAN': ['विक्रान्तं'], 'B-DEVA': ['सुरेशम्']}	{'B-RAKSHASA': ['रावणं'], 'B-DEVA': ['विक्रान्तं सुरेशम्'], 'B-HUMAN': ['भर्तारं']}
मानुषं कृपणं रामं त्यक्त्वा सर्वस्य प्रियवादिनम् दक्षिणं च त्यागशीलं रावणम् आश्रय	O O B-HUMAN O O O O O O B-ASURA O	37	{'B-HUMAN': ['रामं'], 'B-ASURA': ['रावणम्']}	{'B-HUMAN': ['रामं'], 'B-RAKSHASA': ['रावणम्']}	{'B-HUMAN': ['रामं', 'रावणम्']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
वैदेहि दिव्य अङ्ग रागा दिव्याभरणभूषिता अद्य प्रभृति सर्वेषां लोकानाम् ईश्वरी भव	B-HUMAN O O O B-ORNAMENT O O O O O O	38	{'B-HUMAN': ['वैदेहि'], 'B-ORNAMENT': ['दिव्याभरणभूषिता']}	{'B-HUMAN': ['वैदेहि'], 'B-ORNAMENT': ['दिव्याभरण']}	{'B-HUMAN': ['वैदेहि'], 'B-ORNAMENT': ['दिव्याभरणभूषिता']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
शोभने यथा अग्नेः स्वाहा देवी शची इन्द्रस्य इव	O O B-DEVA B-DEVA O B-DEVA B-DEVA O	39	{'B-DEVA': ['अग्नेः', 'इन्द्रस्य'], 'B-KULA': ['स्वाहा', 'शची']}	{'B-HUMAN': ['शोभने'], 'B-DEVA': ['अग्नेः'], 'B-DEVA': ['इन्द्रस्य'], 'B-HUMAN': ['शची']}	{'B-DEVA': ['अग्नेः', 'इन्द्रस्य'], 'B-HUMAN': ['शची']}	"अर्थ : शोभने अग्नि की भांति स्वाहा देवी और इन्द्र की पत्नी शची की भांति है। 

नाम विशेष - 
अर्थ - 
अग्नि - अग"
वैदेहि कृपणेन गतायुषा रामेण ते किं	B-HUMAN O O B-HUMAN O O	40	{'B-HUMAN': ['वैदेहि', 'रामेण']}	{'B-HUMAN': ['वैदेहि', 'रामेण']}	{'B-HUMAN': ['रामेण'], 'B-DEVA': ['वैदेहि']}	{'B-HUMAN': ['वैदेहि', 'कृपणेन', 'गतायुषा', 'रामेण']}
एतद् च मे उक्तं वाक्यं यदि त्वं न करिष्यसि वयम् सर्वाः अस्मिन् मुहूर्ते त्वा भक्षयिष्यामहे	O O O O O O O O O O O O B-MUHURTA O O	41	{'B-HUMAN': ['त्वम्', 'वयम्', 'त्वा'], 'B-MUHURTA': ['मुहूर्ते']}	{'B-MUHURTA': ['मुहूर्ते']}	{'B-HUMAN': ['त्वं'], 'B-MUHURTA': ['मुहूर्ते']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
अन्या तु लम्बमानपयोधरा विकटा नाम कुपिता मुष्टिम् उद्यम्य गर्जती सीतां अब्रवीत्	O O O B-RAKSHASA O O O O O B-HUMAN O	42	{'B-RAKSHASA': ['विकटा'], 'B-HUMAN': ['सीतां']}	{'B-RAKSHASA': ['अन्या'], 'B-HUMAN': ['सीतां']}	{'B-HUMAN': ['सीतां'], 'B-ASURA': ['अन्या'], 'B-RAKSHASA': ['विकटा']}	{'B-HUMAN': ['सीतां'], 'B-RAKSHASA': ['अन्या तु लम्बमानपयोधरा विकटा नाम कुपिता मुष्टिम् उद्यम्य गर्जती']}
सुदुर्मते मैथिलि तव बहूनि अप्रतिरूपाणि वचनानि अनुक्रोशात् मृदु च त्वात् सोढानि	O B-HUMAN O O O O O O O O O	43	{'B-ASURA': ['सुदुर्मते'], 'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['सुदुर्मते'], 'B-HUMAN': ['मैथिलि']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
मैथिलि आनीता असि समुद्रस्य पारम् रावणस्य घोरं अन्तःपुरम् प्रविष्टा असि च अन्यैर् दुरासदम्	B-HUMAN O O B-SEA O B-ASURA O B-PALACE O O O O O	44	{'B-HUMAN': ['मैथिलि'], 'B-SEA': ['समुद्रस्य'], 'B-ASURA': ['रावणस्य'], 'B-PALACE': ['अन्तःपुरम्']}	{'B-HUMAN': ['मैथिलि', 'रावणस्य'], 'B-SEA': ['समुद्रस्य'], 'B-PALACE': ['अन्तःपुरम्']}	{'B-HUMAN': ['आनीता', 'रावणः'], 'B-SEA': ['समुद्रस्य'], 'B-PALACE': ['अन्तःपुरम्']}	{'B-HUMAN': ['मैथिलि'], 'B-LOCATION': ['समुद्रस्य', 'अन्तःपुरम्'], 'B-ORGANIZATION': ['रावणस्य']}
रावणस्य गृहे रुद्धा तु अस्माभिः सुरक्षिता त्वां परित्रातुम् साक्षात् पुरंदरः अपि न शक्तः	B-ASURA B-HOUSE O O O O O O O B-DEVA O O O	45	{'B-ASURA': ['रावणस्य'], 'B-HOUSE': ['गृहे'], 'B-DEVA': ['पुरंदरः']}	{'B-RAKSHASA': ['रावणस्य'], 'B-HOUSE': ['गृहे'], 'B-DEVA': ['पुरंदरः']}	{'B-HUMAN': ['रावणस्य'], 'B-HOUSE': ['गृहे'], 'B-DEVA': ['पुरंदरः']}	अधो दत्त वाक्ये named entities अभिजानीहि (NER कुरु) । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि ।
मैथिलि हित वादिन्याः मम वचनं कुरुष्व	B-HUMAN O O O O O	46	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['हित वादिन्याः']}	"मैथिलि हित वादिन्याः मम वचनं कुरुष्व । तदपि विवृतम्‌ मा कुरु, केवलम्‌ पृष्ट-विषयस्य उत्तरम्‌ देहि । 
entities ए"
